year,bcg_mtrnoint,tic,sic
1986,0.398973568,ANTQ,5712
1987,0.297231295,ANTQ,5712
1988,0.185041282,ANTQ,5712
1989,0.261635994,ANTQ,5712
1986,0.4508,AIR,5080
1987,0.392,AIR,5080
1988,0.331479099,AIR,5080
1989,0.34,AIR,5080
1990,0.338910349,AIR,5080
1991,0.34,AIR,5080
1992,0.324046044,AIR,5080
1993,0.354797729,AIR,5080
1994,0.342301548,AIR,5080
1995,0.347272061,AIR,5080
1996,0.339708763,AIR,5080
1997,0.35,AIR,5080
1998,0.33940566,AIR,5080
1999,0.334274064,AIR,5080
2000,0.337521865,AIR,5080
1986,0.365531485,ABSI,3460
1987,0.430802684,ABSI,3460
1988,0.364131575,ABSI,3460
1989,0.326667539,ABSI,3460
1990,0.310234698,ABSI,3460
1991,0.324649992,ABSI,3460
1992,0.317846081,ABSI,3460
1993,0.30355046,ABSI,3460
1994,0.30845844,ABSI,3460
1986,0.46,4165A,3743
1987,0.397719696,4165A,3743
1988,0.34,4165A,3743
1989,0.34,4165A,3743
1990,0.338992301,4165A,3743
1991,0.34,4165A,3743
1992,0.34,4165A,3743
1993,0.35,4165A,3743
1994,0.35,4165A,3743
1995,0.35,4165A,3743
1996,0.35,4165A,3743
1997,0.35,4165A,3743
1998,0.35,4165A,3743
1999,0.35,4165A,3743
2000,0.343,4165A,3743
1986,0.186047495,ACSE,4841
1987,0.126312815,ACSE,4841
1988,0.159361925,ACSE,4841
1989,0.097595999,ACSE,4841
1990,0.131846168,ACSE,4841
1991,0.094117708,ACSE,4841
1992,0.092748538,ACSE,4841
1993,0.096220827,ACSE,4841
1994,0.07595663,ACSE,4841
1986,0.311661248,6927B,3357
1987,0.316933536,6927B,3357
1988,0.32972158,6927B,3357
1989,0.273422959,6927B,3357
1986,0.4416,ADCT.1,3661
1987,0.4508,ADCT.1,3661
1988,0.389924592,ADCT.1,3661
1989,0.338304607,ADCT.1,3661
1990,0.34,ADCT.1,3661
1991,0.338312738,ADCT.1,3661
1992,0.34,ADCT.1,3661
1993,0.34,ADCT.1,3661
1994,0.349518298,ADCT.1,3661
1995,0.3498,ADCT.1,3661
1996,0.35,ADCT.1,3661
1997,0.35,ADCT.1,3661
1998,0.3428,ADCT.1,3661
1999,0.35,ADCT.1,3661
2000,0.299632264,ADCT.1,3661
1986,0.162879861,3ADDS,6512
1987,0.275053913,3ADDS,6512
1988,0.181499079,3ADDS,6512
1989,0.115021058,3ADDS,6512
1990,0.069534215,3ADDS,6512
1991,0.118889351,3ADDS,6512
1992,0.074180003,3ADDS,6512
1986,0.116532589,4327B,3678
1987,0.065092157,4327B,3678
1986,0.397260706,AECE,3585
1987,0.46,AECE,3585
1986,0.4508,AELNA,3812
1987,0.392862214,AELNA,3812
1988,0.46,AELNA,3812
1989,0.3268156,AELNA,3812
1990,0.3264,AELNA,3812
1991,0.27423206,AELNA,3812
1992,0.290942838,AELNA,3812
1993,0.328009962,AELNA,3812
1994,0.31659468,AELNA,3812
1986,0.217930056,2938B,3861
1987,0.125258731,2938B,3861
1986,0.4324,AFAP,7380
1987,0.328547725,AFAP,7380
1988,0.32042555,AFAP,7380
1989,0.320685744,AFAP,7380
1990,0.308690718,AFAP,7380
1991,0.324336599,AFAP,7380
1992,0.297183211,AFAP,7380
1993,0.307998618,AFAP,7380
1994,0.316031515,AFAP,7380
1995,0.312284157,AFAP,7380
1996,0.293782446,AFAP,7380
1997,0.282010785,AFAP,7380
1998,0.315457614,AFAP,7380
1999,0.302410279,AFAP,7380
2000,0.294392374,AFAP,7380
1986,0.448318176,5548C,3211
1987,0.392,5548C,3211
1988,0.328683004,5548C,3211
1989,0.337157662,5548C,3211
1986,0.320176888,IWKS,3844
1987,0.349203225,IWKS,3844
1988,0.37081069,IWKS,3844
1989,0.287476786,IWKS,3844
1990,0.306885894,IWKS,3844
1991,0.257850012,IWKS,3844
1992,0.254559949,IWKS,3844
1993,0.242762505,IWKS,3844
1994,0.221679141,IWKS,3844
1995,0.260346064,IWKS,3844
1996,0.273284046,IWKS,3844
1997,0.273549062,IWKS,3844
1998,0.279148574,IWKS,3844
1999,0.39,IWKS,3844
2000,0.225297423,IWKS,3844
1986,0.454718946,AGS.2,5045
1987,0.391671186,AGS.2,5045
1986,0.185476585,4225B,5040
1987,0.069276302,4225B,5040
1988,0.116421853,4225B,5040
1989,0.106880058,4225B,5040
1990,0.130364149,4225B,5040
1991,0.140392737,4225B,5040
1992,0.115924307,4225B,5040
1993,0.121177817,4225B,5040
1994,0.131245399,4225B,5040
1995,0.12235385,4225B,5040
1986,0.39994965,7547B,7385
1987,0.349306522,7547B,7385
1988,0.330769441,7547B,7385
1989,0.36240635,7547B,7385
1990,0.057959589,7547B,7385
1986,0.120590232,3ALDK,3580
1987,0.045912093,3ALDK,3580
1988,0.106750237,3ALDK,3580
1989,0.142254748,3ALDK,3580
1990,0.176782229,3ALDK,3580
1991,0.246151161,3ALDK,3580
1992,0.143213544,3ALDK,3580
1993,0.107760484,3ALDK,3580
1986,0.426411999,ALO.2,2834
1987,0.358981953,ALO.2,2834
1988,0.328594178,ALO.2,2834
1989,0.335200222,ALO.2,2834
1990,0.320515103,ALO.2,2834
1991,0.324197382,ALO.2,2834
1992,0.329323422,ALO.2,2834
1993,0.339232326,ALO.2,2834
1994,0.332587377,ALO.2,2834
1995,0.346711631,ALO.2,2834
1996,0.34268965,ALO.2,2834
1997,0.334031863,ALO.2,2834
1998,0.345514721,ALO.2,2834
1999,0.32574969,ALO.2,2834
2000,0.332958158,ALO.2,2834
1986,0.033343018,AMCM.,3663
1987,0.012179691,AMCM.,3663
1988,0.039221076,AMCM.,3663
1989,0.046920584,AMCM.,3663
1990,0.034285572,AMCM.,3663
1991,0.054482761,AMCM.,3663
1992,0.042976768,AMCM.,3663
1993,0.017821187,AMCM.,3663
1994,0.190869231,AMCM.,3663
1995,0.078196974,AMCM.,3663
1996,0.032109507,AMCM.,3663
1997,0.014104435,AMCM.,3663
1998,0.073933353,AMCM.,3663
1999,0.09474465,AMCM.,3663
2000,0,AMCM.,3663
1986,0.436101103,AEN.2,7830
1987,0.39748772,AEN.2,7830
1988,0.34,AEN.2,7830
1989,0.3332,AEN.2,7830
1990,0.34,AEN.2,7830
1991,0.339506223,AEN.2,7830
1992,0.34,AEN.2,7830
1993,0.35,AEN.2,7830
1994,0.35,AEN.2,7830
1995,0.3498,AEN.2,7830
1996,0.349542056,AEN.2,7830
1997,0.337939068,AEN.2,7830
1998,0.340908264,AEN.2,7830
1999,0.329678101,AEN.2,7830
2000,0.35,AEN.2,7830
1986,0.383304513,MTI.3,5040
1987,0.454280332,MTI.3,5040
1988,0.457453846,MTI.3,5040
1989,0.336030862,MTI.3,5040
1990,0.46,MTI.3,5040
1991,0.32493567,MTI.3,5040
1992,0.240222895,MTI.3,5040
1993,0.170483176,MTI.3,5040
1994,0.343791609,MTI.3,5040
1995,0.334652389,MTI.3,5040
1996,0.219884622,MTI.3,5040
1997,0.217024972,MTI.3,5040
1998,0.274349149,MTI.3,5040
1999,0.290324069,MTI.3,5040
1986,0.448145059,AAL,4512
1987,0.375270744,AAL,4512
1988,0.338133933,AAL,4512
1989,0.34,AAL,4512
1990,0.34,AAL,4512
1991,0.3264,AAL,4512
1992,0.317270502,AAL,4512
1993,0.323120555,AAL,4512
1994,0.343,AAL,4512
1995,0.35,AAL,4512
1996,0.35,AAL,4512
1997,0.35,AAL,4512
1998,0.35,AAL,4512
1999,0.343,AAL,4512
2000,0.331651728,AAL,4512
1986,0.023072249,4303B,7372
1986,0.449919016,4267A,4922
1987,0.392,4267A,4922
1988,0.339421409,4267A,4922
1989,0.330277362,4267A,4922
1990,0.3332,4267A,4922
1991,0.34,4267A,4922
1992,0.331241515,4267A,4922
1993,0.35,4267A,4922
1994,0.343,4267A,4922
1995,0.347200003,4267A,4922
1996,0.346108084,4267A,4922
1997,0.341040455,4267A,4922
1998,0.35,4267A,4922
1999,0.35,4267A,4922
2000,0.339822444,4267A,4922
1986,0.161797504,CECE,3564
1987,0.124215067,CECE,3564
1988,0.153576314,CECE,3564
1989,0.169969759,CECE,3564
1990,0.105644354,CECE,3564
1991,0.07718614,CECE,3564
1992,0.072827839,CECE,3564
1993,0.105985758,CECE,3564
1994,0.179630177,CECE,3564
1995,0.178055577,CECE,3564
1996,0.238132779,CECE,3564
1997,0.227117405,CECE,3564
1998,0.302850359,CECE,3564
1999,0.287144185,CECE,3564
2000,0.30733968,CECE,3564
1986,0.39974988,ASKI,7373
1987,0.385055336,ASKI,7373
1988,0.387106678,ASKI,7373
1989,0.328911575,ASKI,7373
1990,0.298978573,ASKI,7373
1991,0.311015753,ASKI,7373
1992,0.34,ASKI,7373
1993,0.32734192,ASKI,7373
1986,0.46,ASTA,3571
1987,0.46,ASTA,3571
1988,0.395602538,ASTA,3571
1989,0.46,ASTA,3571
1990,0.309638822,ASTA,3571
1991,0.34,ASTA,3571
1992,0.34,ASTA,3571
1993,0.34,ASTA,3571
1994,0.340358961,ASTA,3571
1995,0.34,ASTA,3571
1996,0.088822845,ASTA,3571
1986,0.429927314,ARXX,3825
1987,0.449072708,ARXX,3825
1988,0.377441473,ARXX,3825
1989,0.318908727,ARXX,3825
1990,0.325424222,ARXX,3825
1991,0.170799662,ARXX,3825
